PerfilPV;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180;181;182;183;184;185;186;187;188;189;190;191;192;193;194;195;196;197;198;199;200;201;202;203;204;205;206;207;208;209;210;211;212;213;214;215;216;217;218;219;220;221;222;223;224;225;226;227;228;229;230;231;232;233;234;235;236;237;238;239;240;241;242;243;244;245;246;247;248;249;250;251;252;253;254;255;256;257;258;259;260;261;262;263;264;265;266;267;268;269;270;271;272;273;274;275;276;277;278;279;280;281;282;283;284;285;286;287
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.02459298;0.08607546;0.14755794;0.2796669;0.51771567;0.75576441;1.01023419;1.28933553;1.56843684;1.86844677;2.19981954;2.53119234;2.81426898;3.02490138;3.23553381;3.68338464;4.48706313;5.29074162;5.77902024;5.79419907;5.8093779;5.92025442;6.17467746;6.4291005;7.14701286;8.56015914;9.97330545;10.82334642;10.82872938;10.83411234;10.95115482;11.23568658;11.52021834;11.87604237;12.33880476;12.80156715;12.8534316;12.28894914;11.72446665;11.37849447;11.36028768;11.34208092;12.06542325;13.90108926;15.7367553;16.41843114;15.36912174;14.31981231;14.2468971;15.63857316;17.03024919;18.01132515;18.37650099;18.74167683;18.36949137;16.89126393;15.41303649;14.93943207;15.97276218;17.00609229;17.47692321;17.10400539;16.7310876;16.18699275;15.3861324;14.58527205;14.78452644;16.48395291;18.18337941;18.21139473;15.73229331;13.25319192;12.43010571;14.09104227;15.75197883;16.88341425;17.22059796;17.55778167;16.83260496;14.51388762;12.19517025;12.06293097;15.21040878;18.35788656;20.59128936;21.45357963;22.31586993;22.73889078;22.50300753;22.26712428;21.78495546;20.93335827;20.08176108;19.5433755;19.47480729;19.40623911;19.09904187;18.43390104;17.76876024;16.6819896;14.96277423;13.24355889;11.25035745;8.84617692;6.44199636;5.39063682;6.36850881;7.3463808;7.43106927;6.17598243;4.92089559;4.1961951;4.26707412;4.33795311;4.50692796;4.82304654;5.13916512;5.06385516;4.40140236;3.73894959;3.19747815;2.83747872;2.47747932;2.24855388;2.21623941;2.18392497;2.14698381;2.1031026;2.05922139;1.86407901;1.44204486;1.02001071;0.70159269;0.53859888;0.37560507;0.24076758;0.14816466;0.05556174;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00395979;0.01385931;0.02375883;0.05757759;0.1272753;0.19697298;0.31333197;0.49968291;0.68603382;0.87545559;1.06948362;1.26351165;1.41374631;1.4982909;1.58283552;2.13076317;3.37376541;4.61676768;5.48206626;5.78080932;6.07955241;6.71536749;7.85679063;8.99821377;9.7773405;10.01302263;10.24870476;10.5636276;10.99741149;11.43119541;11.9116977;12.46227759;13.01285748;13.50359421;13.90456611;14.30553804;14.7727656;15.33937662;15.90598764;16.3664013;16.66751898;16.96863663;17.40260475;18.03584856;18.6690924;19.12615809;19.3189566;19.51175511;19.83292728;20.34665988;20.86039248;21.26886045;21.51943152;21.77000259;21.00361191;18.71177859;16.41994524;16.17780408;19.0102011;21.84259815;23.53205532;23.50710273;23.48215014;23.44693122;23.39631288;23.34569454;23.39063721;23.57892135;23.76720552;23.58506799;22.84729791;22.10952786;21.96644604;22.71539658;23.46434712;23.62546236;22.90482465;22.18418694;22.21098462;23.35893546;24.50688627;23.26935873;18.45361368;13.6378686;11.2025037;12.33770895;13.47291423;14.66078001;15.92763654;17.19449304;18.66501309;20.44102839;22.21704369;22.59888279;20.8894575;19.18003221;18.3721884;18.91671678;19.46124513;19.06571691;17.26010382;15.45449073;13.26141423;10.48714269;7.71287115;6.90013974;9.02971848;11.15929722;12.08781255;11.21473278;10.34165301;10.1801133;11.08588365;11.991654;12.32388561;11.79580905;11.26773252;10.87620954;10.68951693;10.50282429;9.92166573;8.74880835;7.57595097;6.59437614;5.89972524;5.20507434;4.58493321;4.07655675;3.56818032;2.99001516;2.30716689;1.62431865;1.11316038;0.85953708;0.60591378;0.40733145;0.29131056;0.17528967;0.09243552;0.05933145;0.02622741;0.00551631;0.00339465;0.001272;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001572;0.00549879;0.00942648;0.0229785;0.050967;0.07895553;0.20682591;0.48451905;0.76221222;1.03079304;1.28570526;1.54061748;1.90711287;2.44098291;2.97485298;3.37846251;3.5866812;3.79489989;4.26429627;5.12545923;5.98662219;6.74289813;7.34184351;7.94078892;8.52299283;9.08008446;9.63717609;10.16474769;10.64803929;11.13133086;11.50363794;11.70946827;11.9152986;12.37766907;13.22484972;14.0720304;14.76403818;15.2232867;15.68253525;16.159398;16.66268208;17.16596619;17.52002373;17.65024146;17.78045919;18.07644651;18.62108832;19.1657301;19.55221473;19.70146359;19.85071248;20.13933819;20.63702916;21.1347201;21.69917361;22.36377087;23.02836813;22.32617442;19.57379418;16.82141397;16.10041635;18.42649266;20.75256897;21.64325193;20.38084494;19.11843792;18.09365274;17.42530026;16.75694778;16.49117256;16.82926329;17.16735399;16.63980672;14.81380251;12.98779827;12.68520708;14.66773542;16.65026376;17.67992817;17.28029664;16.88066514;15.99229731;14.37082506;12.74935281;13.06554633;16.28823849;19.51093068;21.67119039;22.23780141;22.80441243;22.75546632;21.78318459;20.81090283;20.544456;21.33676161;22.12906719;20.9759451;16.90468152;12.83341794;11.42977911;14.02757751;16.62537588;17.43704841;15.56953212;13.70201586;11.4024978;8.4549771;5.50745637;4.61224134;6.79548483;8.97872835;10.13228868;9.74132424;9.35035983;8.57012034;7.20596823;5.84181615;5.31507378;6.04444599;6.7738182;6.76868046;5.66177787;4.55487528;3.79898862;3.56962581;3.34026297;3.07721379;2.76363504;2.45005629;2.24552136;2.20455213;2.1635829;1.99592781;1.6382439;1.28056002;0.94584105;0.64556952;0.34529796;0.14447301;0.09281796;0.04116288;0.00881385;0.00542391;0.002034;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01280967;0.04483386;0.07685808;0.13985973;0.24932757;0.35879544;0.45319401;0.52498872;0.59678346;0.67664676;0.76861302;0.86057925;1.36355823;2.48305635;3.60255447;4.62282297;5.49424707;6.36567117;7.06685334;7.51267251;7.95849171;8.42121693;8.90930118;9.39738543;9.99414735;10.75392579;11.51370423;12.11177457;12.46728282;12.82279107;13.37588073;14.22534249;15.07480425;14.99882166;13.53467253;12.07052343;11.26646301;11.45253564;11.63860827;12.72395451;15.15821115;17.59246782;18.61402737;17.51654124;16.41905514;15.65208117;15.38087547;15.10966977;14.8402095;14.57336742;14.30652534;14.6268747;15.82801122;17.02914774;17.74980864;17.74975611;17.74970355;17.9163057;18.33288984;18.74947398;18.61598451;17.65738467;16.6987848;16.20857796;16.42096059;16.63334325;16.76560452;16.77768366;16.7897628;17.25521598;18.40073025;19.54624449;20.4774276;21.08711391;21.69680025;21.98476587;21.79015044;21.59553501;21.01629093;19.86010386;18.70391682;18.13284252;18.43943736;18.7460322;19.81653783;22.03290966;24.24928149;24.40848612;21.48193995;18.55539375;17.57154663;19.50174807;21.43194951;22.29581463;21.5601753;20.82453594;19.40566875;16.96195974;14.51825073;12.16904373;9.96158976;7.75413579;7.10830545;8.80491054;10.50151563;11.77680399;12.42011727;13.06343055;13.22275308;12.6560895;12.08942595;11.70259938;11.58552837;11.46845733;10.76983182;9.19887462;7.62791745;6.89949732;7.43488281;7.9702683;7.74835416;6.39049059;5.03262702;4.10400339;3.81923973;3.53447604;2.99601333;2.07700209;1.15799085;0.5733372;0.49021998;0.40710273;0.31243815;0.20045259;0.088467;0.0184389;0.01134702;0.00425514;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00183;0.00640584;0.01098147;0.03440829;0.08611191;0.13781553;0.26542611;0.50689704;0.748368;1.01353428;1.31424357;1.61495283;1.9992147;2.50880544;3.01839618;3.54153321;4.08498969;4.62844617;5.20976148;5.84786499;6.48596853;7.1268108;7.77176124;8.41671171;8.96155344;9.35623212;9.7509108;10.36191108;11.29739373;12.23287638;12.98205318;13.45177119;13.92148923;14.39055777;14.85865203;15.32674629;15.82479093;16.36776111;16.91073132;17.42224674;17.88657999;18.35091324;18.77826129;19.15013151;19.5220017;19.89093021;20.2554462;20.61996216;20.95829334;21.25734732;21.5564013;21.80172786;21.9664632;22.13119857;22.31935242;22.54263399;22.76591556;22.9755324;23.16465216;23.35377192;23.51911578;23.64879576;23.77847571;23.89890531;24.00545937;24.11201343;24.18275691;24.19978455;24.21681216;24.21064845;24.1696977;24.12874695;24.09402645;24.06865134;24.04327623;24.00291315;23.94006819;23.87722323;23.80374132;23.71430403;23.62486677;23.52900195;23.42349585;23.31798978;23.08218849;22.65094443;22.21970037;21.84770406;21.56457936;21.28145466;21.10195074;21.07787796;21.05380521;20.9172831;20.61208698;20.30689089;19.96805868;19.57877238;19.18948608;18.8025804;18.41924562;18.03591084;17.62996986;17.19011955;16.75026927;16.19206755;15.45633873;14.72060988;14.0475324;13.46843205;12.88933167;11.90022;10.29609138;8.69196273;7.98527253;8.62473999;9.26420748;9.52610637;9.22165239;8.91719841;8.39953935;7.56207267;6.72460596;6.00635865;5.46694038;4.92752214;4.36625964;3.77223084;3.17820204;2.6071257;2.07047811;1.53383049;1.12345626;0.90249201;0.68152779;0.48987732;0.34219749;0.19451766;0.09432417;0.06536016;0.03639615;0.01648206;0.01014279;0.00380355;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00593238;0.02076336;0.03559431;0.04831803;0.05788089;0.06744378;0.23920131;0.65425083;1.06930032;1.4756784;1.86904932;2.26242021;2.69968683;3.20279697;3.70590714;4.01445501;4.0311594;4.04786382;4.03154193;3.96568062;3.89981931;4.35249072;5.58296121;6.81343173;7.92825915;8.86962192;9.81098469;10.07832678;9.33463779;8.59094883;8.75359776;10.27575351;11.79790926;13.21604538;14.47815198;15.74025858;16.24494207;15.61349088;14.98203972;15.09839196;16.33644933;17.57450673;18.45677031;18.80534322;19.15391613;19.48120401;19.77656439;20.07192477;20.32418304;20.5117881;20.69939319;20.5734891;19.97732124;19.38115338;19.39962321;20.34004965;21.28047606;21.99238767;22.36152708;22.73066649;22.70542191;22.0886013;21.47178069;21.47578803;22.41103731;23.34628659;23.38526583;22.07984007;20.77441428;20.75518062;22.66523517;24.57528972;24.12736857;20.1424839;16.1575992;13.08317064;11.37442623;9.66568185;8.77006728;9.09414741;9.41822757;9.5990421;9.5649582;9.53087433;9.72879801;10.27473309;10.82066817;12.6859398;16.53021624;20.37449271;21.92696853;20.04174336;18.15651822;17.48257086;18.6255402;19.76850957;18.34713036;13.07922828;7.81132623;5.07314436;6.12954276;7.18594116;7.4035824;6.36308793;5.32259349;4.63759872;4.48585347;4.33410825;5.05449246;7.08307077;9.11164911;9.45563016;7.27271532;5.08980048;3.95193594;4.38164685;4.81135773;4.81387662;4.17560751;3.53733837;3.00643125;2.6365671;2.26670295;2.16530589;2.46660945;2.76791301;2.75644533;2.27582076;1.79519619;1.36344801;1.00501437;0.64658073;0.41223408;0.36401787;0.31580166;0.2567424;0.18141861;0.10609479;0.05278248;0.03248736;0.01219227;0.0000132;0.0000081;0.00000303;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00313809;0.01098336;0.0188286;0.02307597;0.02192655;0.02077713;0.11592444;0.35551686;0.59510931;0.81046764;0.98947485;1.16848203;1.49809494;2.05361643;2.60913795;3.13087884;3.60194886;4.07301891;4.49189952;4.832496;5.17309245;5.54847489;5.97603621;6.40359753;6.74556891;6.95915535;7.17274179;7.67729352;8.6182932;9.55929288;9.60667218;8.31362085;7.02056955;7.26618678;9.81980682;12.37342683;13.96145832;14.10110703;14.24075571;14.59185546;15.26013183;15.92840823;16.18656387;15.82953837;15.4725129;15.41078676;15.79200969;16.17323259;16.61143092;17.13509238;17.65875384;18.05965863;18.27642846;18.49319829;18.57917592;18.46896522;18.35875452;18.19739466;17.95931112;17.72122758;18.00860973;19.0841904;20.15977104;20.84294175;20.93749746;21.03205317;20.8340625;20.19725229;19.56044205;19.38999861;19.91910534;20.4482121;20.90997264;21.27071382;21.631455;21.83089875;21.78839637;21.74589396;21.38788965;20.55663249;19.72537533;19.13434395;18.90365127;18.67295856;18.66409788;18.98798526;19.31187261;19.30072329;18.78701898;18.27331464;18.21323874;18.83360547;19.4539722;18.5872635;15.48994167;12.39261984;11.50557111;13.93393206;16.36229301;16.75955283;14.11016097;11.46076911;9.86843523;9.86168832;9.85494141;9.88176957;9.95896029;10.03615101;10.04074827;9.9364554;9.8321625;9.7769463;9.79534515;9.81374397;9.4682256;8.57683143;7.68543729;6.79514154;5.90649339;5.01784524;4.43175657;4.29950706;4.16725755;3.99469236;3.76165371;3.52861503;3.31082697;3.11591475;2.92100253;2.69205957;2.41207044;2.13208131;1.76915781;1.28183271;0.79450761;0.43955727;0.28316904;0.12678081;0.02855628;0.01757727;0.00659826;0.00000945;0.00000579;0.000002175;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001731;0.00605886;0.0103866;0.01689174;0.02666298;0.03643419;0.05578368;0.08950047;0.12321729;0.23614407;0.46788582;0.6996276;0.8927913;1.02808797;1.16338461;1.46539305;2.01746916;2.56954527;3.06580815;3.47835117;3.89089419;4.17180417;4.25526456;4.33872495;4.51777173;4.84019802;5.16262434;5.42784648;5.60726244;5.78667837;6.9266052;9.50729841;12.08799162;13.39178508;12.78022896;12.16867281;12.00455238;12.51158553;13.01861868;13.26548586;13.12210407;12.97872228;13.37501112;14.58080586;15.78660063;16.34697588;15.93922191;15.53146794;15.19843188;14.97747273;14.75651355;14.57741145;14.46109485;14.34477825;14.19331119;13.98911841;13.7849256;14.20727007;15.56942046;16.93157082;17.51633658;16.93502541;16.35371424;17.10648132;19.8603657;22.61425011;24.3243312;24.46870734;24.61308345;23.94999111;22.07569602;20.20140096;19.57999197;20.83791216;22.09583232;21.97767897;19.79541531;17.61315165;17.36732535;20.02615506;22.68498477;23.72584581;22.33975383;20.95366185;19.07018316;16.44062439;13.81106562;12.45005343;12.99186114;13.53366885;13.46966613;12.49694772;11.52422931;10.4738652;9.30703254;8.14019985;7.80832452;8.72888526;9.649446;10.07073105;9.74310261;9.41547414;8.92617879;8.19438309;7.46258736;6.86101929;6.45479271;6.0485661;5.72830224;5.53698255;5.34566286;5.15478525;4.96457076;4.77435627;4.55604111;4.29557487;4.03510863;3.74561592;3.41258349;3.07955106;2.84443806;2.75620419;2.66797035;2.5247106;2.29891203;2.07311346;1.82280408;1.5357285;1.24865292;0.96267504;0.67834365;0.39401229;0.2062677;0.16340331;0.12053889;0.08217756;0.05057079;0.01896405;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01249965;0.04374873;0.07499781;0.16356558;0.33811128;0.51265701;0.75302544;1.09212786;1.43123031;1.7868348;2.16719238;2.54754996;3.0033225;3.57221751;4.14111255;4.42267362;4.27323378;4.12379394;4.06604805;4.1458431;4.22563815;4.88417469;6.41082342;7.93747218;9.16901625;9.95790324;10.74679026;11.56931829;12.44230782;13.31529735;14.33496615;15.57465384;16.8143415;16.93320705;15.37083942;13.80847179;13.24472679;14.17891578;15.11310477;15.41542074;14.76992709;14.12443347;13.95658218;14.50519443;15.05380665;15.45440511;15.6329829;15.81156069;16.62208719;18.38053677;20.13898632;21.254784;21.40660389;21.55842375;21.7166871;21.88461564;22.05254418;22.0998036;21.96605931;21.83231505;21.4774242;20.79081348;20.10420279;20.19925305;21.46679481;22.73433657;22.52617179;20.10444723;17.68272267;15.96203487;15.29290221;14.62376958;14.46323862;15.06561018;15.66798177;16.29145473;16.9465797;17.6017047;17.57678022;16.53178152;15.48678285;14.93083932;15.10847859;15.28611783;16.0540146;17.70729762;19.36058064;20.53811343;21.00202092;21.46592838;20.37161835;16.93998201;13.5083457;11.57453682;11.8874691;12.20040138;12.61091277;13.16779278;13.72467279;13.71559128;12.85756752;11.99954376;10.88453166;9.38403714;7.88354259;7.43668878;8.57029602;9.70390323;9.59247918;7.61350821;5.63453721;4.51597425;4.68802326;4.86007227;4.6055211;3.71106966;2.81661819;2.22907461;2.10189279;1.974711;1.78546455;1.50312111;1.2207777;1.1572359;1.42189653;1.68655716;1.7486079;1.50674379;1.26487965;1.12255764;1.12954881;1.13653995;1.00738395;0.6740073;0.34063062;0.12185733;0.07498911;0.02812092;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001905;0.00666966;0.01143369;0.01785708;0.02676951;0.03568194;0.18953193;0.56078829;0.93204465;1.24396788;1.46689143;1.68981498;2.00386764;2.45461395;2.90536023;3.19073784;3.22806237;3.26538693;3.67918104;4.65767958;5.63617809;6.5806389;7.4740431;8.3674473;8.84179206;8.68754757;8.53330311;8.47015659;8.54365695;8.61715734;9.20672721;10.57040133;11.93407545;13.04285346;13.7692872;14.49572097;15.0693012;15.41360106;15.75790092;16.11742341;16.4997798;16.88213619;17.13134442;17.18083035;17.23031628;17.55507849;18.29275506;19.03043163;19.5347619;19.68907266;19.84338345;20.05349703;20.34731481;20.64113259;20.88400953;21.05047518;21.21694086;21.36726945;21.49339242;21.61951536;21.74488548;21.86912631;21.99336714;22.1041314;22.19468079;22.28523018;22.38940878;22.51403118;22.63865358;22.69636011;22.65369285;22.61102556;22.56744918;22.52250912;22.47756909;22.49408142;22.60277235;22.71146328;22.54982877;21.9827061;21.4155834;21.0929391;21.13701237;21.18108564;21.1742643;21.09110103;21.00793779;20.89441542;20.73535434;20.57629329;20.36725485;20.08325034;19.79924583;19.47903099;19.10450064;18.72997029;18.32653536;17.87974356;17.43295179;17.04929289;16.76033337;16.47137385;15.69719139;14.19517455;12.69315771;11.93398248;12.28906965;12.64415682;12.77472018;12.56849775;12.36227535;12.03359763;11.52123696;11.00887629;10.48980777;9.96067746;9.43154715;8.87176263;8.26599675;7.66023087;7.05322731;6.44436717;5.83550706;5.23541388;4.64847117;4.06152846;3.53368419;3.09448761;2.65529106;2.22478317;1.80730833;1.38983349;1.06109613;0.86546499;0.66983382;0.48370902;0.31184373;0.13997844;0.03194469;0.01965828;0.00737184;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
